title,content_type,genre,url,tomatometer,popcornmeter,summary,critics_consensus,platforms
True Romance,Movie,Crime|Drama|Romance,https://www.rottentomatoes.com/m/true_romance,93%,93%,"A comic-book nerd and Elvis fanatic Clarence (Christian Slater) and a prostitute named Alabama (Patricia Arquette) fall in love. Clarence breaks the news to her pimp and ends up killing him. He grabs a suitcase of cocaine on his way out thinking it is Alabama's clothing. The two hit the road for California hoping to sell the cocaine, but the mob is soon after them.","Fueled by Quentin Tarantino's savvy screenplay and a gallery of oddball performances, Tony Scott's True Romance is a funny and violent action jaunt in the best sense.","Fandango at Home, Netflix, Apple TV, Prime Video"
It Ends With Us,Movie,Romance|Drama,https://www.rottentomatoes.com/m/it_ends_with_us,55%,87%,"IT ENDS WITH US, the first Colleen Hoover novel adapted for the big screen, tells the story of Lily Bloom, a woman who overcomes a traumatic childhood to embark on a new life in Boston and chase a lifelong dream of opening her own business. A chance meeting with charming neurosurgeon Ryle Kincaid sparks an intense connection, but as the two fall deeply in love, Lily begins to see sides of Ryle that remind her of her parents’ relationship. When Lily’s first love, Atlas Corrigan, suddenly reenters her life, her relationship with Ryle is upended, and Lily realizes she must learn to rely on her own strength to make an impossible choice for her future.","Earnestly performed if marred by clunky dialogue, It Ends With Us is surprisingly at its most graceful when handling the more provocative elements of its melodramatic source material.","Fandango at Home, Netflix, Apple TV, Prime Video"
Mother's Day,Movie,Comedy|Drama|Romance,https://www.rottentomatoes.com/m/mothers_day_2016,8%,44%,"Sandy (Jennifer Aniston) is a stressed-out, single mom who learns that her ex-husband is marrying a younger woman. Her friend Jesse (Kate Hudson) is a fitness freak who doesn't tell her parents that she has a family. Bradley is a widower (Jason Sudeikis) who's trying to raise two daughters on his own, while Miranda (Julia Roberts) is too busy with her career to worry about having children. When their respective problems start coming to a head, the Mother's Day holiday takes on a special meaning.","Arguably well-intended yet thoroughly misguided, Mother's Day is the cinematic equivalent of a last-minute gift that only underscores its embarrassing lack of effort.","Fandango at Home, Netflix, Apple TV, Prime Video"
An Enemy Within,Movie,Drama|Mystery & Thriller|Action,https://www.rottentomatoes.com/m/an_enemy_within,,,"On his wedding night, Caleb Wingate is ordered to kill his father-in-law before midnight or his bride dies. As a deadly assassin closes in and family secrets erupt, Caleb must uncover the truth before the night ends in blood.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Eddington,Movie,Mystery & Thriller|Western|Comedy|Drama,https://www.rottentomatoes.com/m/eddington,69%,66%,"In May of 2020, a standoff between a small-town sheriff (Joaquin Phoenix) and mayor (Pedro Pascal) sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.","Eddington carries a stellar cast, fearless direction by Ari Aster and an off-kilter story, but its tonal misdirection will often leave viewers wanting.","Fandango at Home, Netflix, Apple TV, Prime Video"
Dead Man's Wire,Movie,Crime|Drama,https://www.rottentomatoes.com/m/dead_mans_wire,91%,76%,"On Feb. 8, 1977, disgruntled real-estate developer Tony Kiritsis takes mortgage broker Richard Hall hostage, keeping him tied up in his apartment with a sawed-off shotgun pointed at his chest.","Brilliantly offbeat and tinged with a darkly humorous edge, Dead Man's Wire is brought to life by Bill Skarsgård's fearless performance, authentic period flavor, and anti-capitalist fervor.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Godfather,Movie,Crime|Drama,https://www.rottentomatoes.com/m/the_godfather,97%,98%,"Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of the same name, focuses on the powerful Italian-American crime family of Don Vito Corleone (Marlon Brando). When the don's youngest son, Michael (Al Pacino), reluctantly joins the Mafia, he becomes involved in the inevitable cycle of violence and betrayal. Although Michael tries to maintain a normal relationship with his wife, Kay (Diane Keaton), he is drawn deeper into the family business.","One of Hollywood's greatest critical and commercial successes, The Godfather gets everything right; not only did the movie transcend expectations, it established new benchmarks for American cinema.","Fandango at Home, Netflix, Apple TV, Prime Video"
Safe Haven,Movie,Romance|Drama|Mystery & Thriller|Fantasy,https://www.rottentomatoes.com/m/safe_haven,13%,67%,"Katie Feldman moves to a small town on the North Carolina coast, determined to make a new life for herself. She takes a job as a waitress and keeps a low profile, but she is soon won over by the warmth and caring of the close-knit community, especially that of Alex, a widower. With the help of Alex and his children, Katie learns to love and trust again, but when a mysterious stranger arrives and starts asking questions, Katie's dark past threatens to reclaim her.","Schmaltzy, predictable, and melodramatic, Safe Haven also suffers from a ludicrous plot twist, making for a particularly ignominious Nicholas Sparks adaptation.","Fandango at Home, Netflix, Apple TV, Prime Video"
Warfare,Movie,Action|War|Mystery & Thriller|Drama,https://www.rottentomatoes.com/m/warfare,92%,93%,"Written and directed by Iraq War veteran Ray Mendoza and Alex Garland (Civil War, 28 Days Later), Warfare embeds audiences with a platoon of American Navy SEALs on a surveillance mission gone wrong in insurgent territory. A visceral, boots-on-the-ground story of modern warfare and brotherhood, told like never before: in real time and based on the memory of the people who lived it.","Narratively cut to the bone and geared up with superb filmmaking craft, Warfare evokes the primal terror of combat with unnerving power.","Fandango at Home, Netflix, Apple TV, Prime Video"
Cleaner,Movie,Mystery & Thriller|Crime|Drama,https://www.rottentomatoes.com/m/cleaner,17%,40%,"Retired policeman Tom Cutler (Samuel L. Jackson) works as a crime-scene cleaner to support his young daughter. Cutler's quiet life is thrown into turmoil when woman-in-peril Ann Norcut (Eva Mendes) contacts him in the wake of a routine job. When Norcut reveals that her husband has disappeared -- and that his agency has sterilized an apparent crime scene in her home without her permission -- Cutler turns to his hardened former partner, police Detective Eddie Lorenzo (Ed Harris), for answers.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Longlegs,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/longlegs,85%,61%,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.","Saturated in disquieting mood while leveraging a nightmarishly gonzo performance by Nicolas Cage, Longlegs is a satanic horror that effectively instills panic.","Fandango at Home, Netflix, Apple TV, Prime Video"
Wanda Sykes: Legacy,Movie,Comedy|Stand-Up,https://www.rottentomatoes.com/m/wanda_sykes_legacy,,,Wanda Sykes returns to her alma mater with a fearlessly funny takedown of everything from the state of the world to the cultural clash over washcloths.,,"Fandango at Home, Netflix, Apple TV, Prime Video"
Ladies First,Movie,Comedy,https://www.rottentomatoes.com/m/ladies_first_2026,13%,67%,"Damien Sachs (Sacha Baron Cohen) seemingly has it all: money, power, and a never ending stream of casual flings. As he prepares to ascend to the role of CEO at a leading advertising agency, his life is turned upside down when he wakes up in his worst nightmare: a parallel world dominated by women. Where he once ruled the boardroom, he now finds himself humbled and going head-to-head with the newly fierce and fearless Alex Fox (Rosamund Pike). With the rules of engagement changed and Alex at the top of her game, the two boldly battle it out in a playful and satirical comedy about what happens when the script is flipped.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Remarkably Bright Creatures,Movie,Drama,https://www.rottentomatoes.com/m/remarkably_bright_creatures,83%,90%,"A widow who works at a local aquarium finds joy again when she forms an unlikely bond with a giant Pacific octopus and a wayward young man who comes to town in search of family. Together, they uncover a mystery that will lead them to a life-changing discovery and restore their sense of wonder.","Grounded by a characteristically wonderful Sally Field, Remarkably Bright Creatures is a sweet melodrama that tugs the heartstrings with admirable restraint.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Perfect Neighbor,Movie,Documentary|Crime,https://www.rottentomatoes.com/m/the_perfect_neighbor_2025,99%,80%,"A seemingly minor neighborhood dispute in Florida escalates into deadly violence. Police bodycam footage and investigative interviews expose the consequences of Florida's ""stand your ground"" laws.","As gripping as it is deeply unsettling, The Perfect Neighbor lays bare the systemic failures and the quiet terror embedded in American legal systems with surgical precision.","Fandango at Home, Netflix, Apple TV, Prime Video"
Apex,Movie,Action|Mystery & Thriller,https://www.rottentomatoes.com/m/apex_2026,66%,47%,A grieving woman testing her limits in the Australian wilderness is suddenly ensnared in a deadly game with a ruthless predator.,"Benefitting from astonishing Australian locations and Charlize Theron's raw athleticism while skimping on the finer details, Apex doesn't mark the zenith of survival thrillers but makes for a solid entry.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Crash,Movie,Crime|Documentary,https://www.rottentomatoes.com/m/the_crash_2026,,63%,"A teen slams her car into a building, killing her boyfriend and his friend. What seems like a tragic accident becomes a murder case in this documentary.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Swapped,Movie,Kids & Family|Comedy|Adventure|Animation,https://www.rottentomatoes.com/m/swapped_2026,67%,88%,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
War Machine,Movie,Action|Sci-Fi|Mystery & Thriller,https://www.rottentomatoes.com/m/war_machine,67%,64%,"During the final stage of US Army Ranger selection, an elite team's training exercise turns into a fight for survival against an unimaginable threat.","Providing Alan Ritchson an ideal vehicle to flex his brawny charisma, War Machine occasionally clanks when it comes to character depth but otherwise soldiers on to deliver an awesome dose of action spectacle.","Fandango at Home, Netflix, Apple TV, Prime Video"
Train Dreams,Movie,Drama,https://www.rottentomatoes.com/m/train_dreams,94%,91%,"Based on the beloved novella by Denis Johnson, Train Dreams is the moving portrait of Robert Grainier (Golden Globe-nominee Joel Edgerton), whose life unfolds during an era of unprecedented change in early 20th century America. Orphaned at a young age, Robert grows into adulthood among the towering forests of the Pacific Northwest, where he helps expand the nation's railroad empire alongside men as unforgettable as the landscapes they inhabit. After a tender courtship, he marries Gladys (Academy Award-nominee Felicity Jones) and they build a home together, though his work often takes him far from her and their young daughter. When his life takes an unexpected turn, Robert finds beauty, brutality and newfound meaning for the forests and trees he has felled.","A gorgeous meditation on America, ably shouldered by one of Joel Edgerton's very best performances, Train Dreams takes on mythic proportions while maintaining an intimate emotional delicacy.","Fandango at Home, Netflix, Apple TV, Prime Video"
"Marty, Life Is Short",Movie,Documentary,https://www.rottentomatoes.com/m/marty_life_is_short,97%,90%,"Marty, Life is Short, from director Lawrence Kasdan, is the definitive documentary on beloved comedian Martin Short. Using beautiful, intimate, never-before-seen archive footage alongside exclusive interviews with some of the most established and beloved stars, the documentary takes a look at one of the most influential comedians of a generation.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Killer Joe,Movie,Crime|Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/killer_joe,80%,61%,A cop (Matthew McConaughey) who moonlights as a hit man agrees to kill the hated mother of a desperate drug dealer (Emile Hirsch) in exchange for a tumble with the young man's virginal sister (Juno Temple).,"Violent, darkly comic, and full of strong performances, Killer Joe proves William Friedkin hasn't lost his touch, even if the plot may be too lurid for some.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Rip,Movie,Crime|Drama|Action,https://www.rottentomatoes.com/m/the_rip,78%,65%,"Upon discovering millions in cash in a derelict stash house, trust among a team of Miami cops begins to fray. As outside forces learn about the size of the seizure, everything is called into question -- including who they can rely on.","Leveraging Ben Affleck and Matt Damon's classic chemistry to texturize a friendship tested by greed, The Rip tears into its potboiler setup with compulsively watchable confidence.","Fandango at Home, Netflix, Apple TV, Prime Video"
Peaky Blinders: The Immortal Man,Movie,Crime|Drama|History,https://www.rottentomatoes.com/m/peaky_blinders_the_immortal_man,90%,89%,"Birmingham, 1940. Amidst the chaos of WWII, Tommy Shelby is driven back from a self-imposed exile to face his most destructive reckoning yet. With the future of the family and the country at stake, Tommy must face his own demons, and choose whether to confront his legacy, or burn it to the ground. By order of the Peaky Blinders....","Capping off Tommy Shelby's story with grit and swagger, The Immortal Man is a satisfying conclusion to Peaky Blinders that also stands tall on its own self-contained terms.","Fandango at Home, Netflix, Apple TV, Prime Video"
And So It Goes,Movie,Romance|Comedy|Drama,https://www.rottentomatoes.com/m/and_so_it_goes,16%,40%,"Nobody likes real-estate agent Oren Little (Michael Douglas), and he prefers it that way. He's deliberately mean to anyone who crosses his path and wants nothing more than to sell one final house and retire. Oren's life turns upside-down when his estranged son drops off a granddaughter (Sterling Jerins) he didn't know existed. Oren has no idea how to take care of a child, so he pawns the girl off on his neighbor, Leah (Diane Keaton) -- but he learns how to open his heart eventually.","And So It Goes aims for comedy, but with two talented stars stuck in a half-hearted effort from a once-mighty filmmaker, it ends in unintentional tragedy.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Roast of Kevin Hart,Movie,Comedy|Stand-Up,https://www.rottentomatoes.com/m/the_roast_of_kevin_hart,,23%,Kevin Hart is in the hot seat and ready for all the smoke as roastmaster Shane Gillis hosts a raw and ruthless night of live laughs.,,"Fandango at Home, Netflix, Apple TV, Prime Video"
Wake Up Dead Man: A Knives Out Mystery,Movie,Mystery & Thriller|Comedy|Drama,https://www.rottentomatoes.com/m/wake_up_dead_man_a_knives_out_mystery,92%,94%,Detective Benoit Blanc sifts through a series of suspects when a monsignor turns up dead.,"Giving Benoit Blanc a worthy mystery with its genuinely soulful fixation on faith and a scene-stealing Josh O'Connor performance, Wake Up Dead Man is another Knives Out puzzle that comes together splendidly.","Fandango at Home, Netflix, Apple TV, Prime Video"
People We Meet on Vacation,Movie,Romance|Comedy,https://www.rottentomatoes.com/m/people_we_meet_on_vacation,76%,69%,"Free-spirited Poppy (Emily Bader) and routine-loving Alex (Tom Blyth) have been unlikely best friends for a decade, living in different cities but spending every summer vacation together. The careful balance of their friendship is put to the test when they begin to question what has been obvious to everyone else -- could they actually be the perfect romantic match?","People We Meet on Vacation is a breezy adaptation that boasts charming leads in Tom Blyth and Emily Bader, delivering a romantic endeavor worth staying for.","Fandango at Home, Netflix, Apple TV, Prime Video"
Hit Man,Movie,Romance|Comedy|Action|Crime|Mystery & Thriller,https://www.rottentomatoes.com/m/hit_man_2023,95%,89%,"Oscar-nominated director Richard Linklater's sunlit neo-noir stars Glen Powell as strait-laced professor Gary Johnson, who moonlights as a fake hit man for the New Orleans Police Department. Preternaturally gifted at inhabiting different guises and personalities to catch hapless people hoping to bump off their enemies, Gary descends into morally dubious territory when he finds himself attracted to one of those potential criminals, a beautiful young woman named Madison (Adria Arjona). As Madison falls for one of Gary's hit man personas -- the mysteriously sexy Ron -- their steamy affair sets off a chain reaction of play acting, deception, and escalating stakes.","A deceptively dark thriller that's also loaded with laughs, Hit Man is an outstanding showcase for leading man Glen Powell -- and one of the most purely entertaining films of Richard Linklater's career.","Fandango at Home, Netflix, Apple TV, Prime Video"
Je m'appelle Agneta,Movie,Comedy|Drama,https://www.rottentomatoes.com/m/je_mappelle_agneta,,97%,"Craving a fresh start, recently unemployed Agneta accepts an au pair gig in Provence that turns into an indulgent escape and an unexpected awakening.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Dhurandhar,Movie,Action,https://www.rottentomatoes.com/m/dhurandhar,35%,96%,"An underworld saga following a network of criminals, informants and operatives whose lives intersect, navigating covert operations, espionage and betrayals.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Thrash,Movie,Mystery & Thriller,https://www.rottentomatoes.com/m/thrash,43%,25%,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos and something far more frightening: hungry sharks.","Treading water between gnarly kills, Thrash dishes some old-fashioned jolts but would've had more bite if its human characters were more compelling chum.","Fandango at Home, Netflix, Apple TV, Prime Video"
His House,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/his_house,100%,72%,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.","Featuring genuine scares through every corridor, His House is a terrifying look at the specters of the refugee experience and a stunning feature debut for Remi Weekes.","Fandango at Home, Netflix, Apple TV, Prime Video"
Frankenstein,Movie,Horror|Drama|Sci-Fi,https://www.rottentomatoes.com/m/frankenstein_2025,85%,94%,"Oscar-winning director Guillermo del Toro adapts Mary Shelley's classic tale of Victor Frankenstein, a brilliant but egotistical scientist who brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.","Finding the humanity in one of cinema's most iconic monsters, Guillermo Del Toro's Frankenstein is a lavish epic that gets its most invigorating volts from Jacob Elordi's standout performance.","Fandango at Home, Netflix, Apple TV, Prime Video"
A HOUSE OF DYNAMITE,Movie,Mystery & Thriller|Drama,https://www.rottentomatoes.com/m/a_house_of_dynamite,75%,77%,"From Academy Award® winning director Kathryn Bigelow. When a single, unattributed missile is launched at the United States, a race begins to determine who is responsible and how to respond.","Playing out a nightmare scenario with nerve-wracking plausibility, Kathryn Bigelow's masterfully-constructed A House of Dynamite is an urgent thriller that's as distressing as it is riveting.","Fandango at Home, Netflix, Apple TV, Prime Video"
Cover-Up,Movie,Documentary|History,https://www.rottentomatoes.com/m/cover_up_2025,98%,81%,"Cover-Up is a political thriller that traces the explosive career of Pulitzer Prize-winning investigative reporter Seymour Hersh. Urgent and deeply reported, Cover-Up is both a portrait of a relentless journalist and an indictment of institutional violence and the cycles of impunity in the U.S. military and intelligence agencies. Drawing on exclusive access to Hersh’s notes, and interweaving primary documents and archival footage, Cover-Up captures the power and process of investigative journalism.","Cover-Up shines a light on Seymour Hersh's remarkable career and the pugnacious commitment it required, making for an absorbing and instructive treatise on journalistic responsibility.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Woman in Cabin 10,Movie,Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/the_woman_in_cabin_10,29%,32%,"While on board a luxury yacht for a travel assignment, a journalist witnesses a passenger thrown overboard late at night, only to be told that it didn't happen, as all passengers and crew are accounted for. Despite no one believing her, she continues to look for answers, putting her own life in danger. Based on the bestselling novel The Woman in Cabin 10 by Ruth Ware.","Saddled with a contrived plot and plodding pacing, The Woman in Cabin 10 throws narrative logic overboard and ultimately sinks.","Fandango at Home, Netflix, Apple TV, Prime Video"
Green Book,Movie,Comedy|Drama,https://www.rottentomatoes.com/m/green_book,77%,92%,"Dr. Don Shirley is a world-class African-American pianist who's about to embark on a concert tour in the Deep South in 1962. In need of a driver and protection, Shirley recruits Tony Lip, a tough-talking bouncer from an Italian-American neighborhood in the Bronx. Despite their differences, the two men soon develop an unexpected bond while confronting racism and danger in an era of segregation.","Green Book takes audiences on an excessively smooth ride through bumpy subject matter, although Mahershala Ali and Viggo Mortensen's performances add necessary depth.","Fandango at Home, Netflix, Apple TV, Prime Video"
Gladiator II,Movie,History|Drama|Adventure|Action,https://www.rottentomatoes.com/m/gladiator_ii,70%,80%,"Years after witnessing the death of Maximus at the hands of his uncle, Lucius must enter the Colosseum after the powerful emperors of Rome conquer his home. With rage in his heart and the future of the empire at stake, he looks to the past to find the strength and honor needed to return the glory of Rome to its people.","Echoing its predecessor while upping the bloodsport and camp, Gladiator II is an action extravaganza that derives much of its strength and honor from Denzel Washington's scene-stealing performance.","Fandango at Home, Netflix, Apple TV, Prime Video"
Independence Day,Movie,Sci-Fi|Adventure|Action,https://www.rottentomatoes.com/m/1071806-independence_day,69%,75%,"In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the world's major cities. As these extraordinary events unfold, it becomes increasingly clear that a force of incredible magnitude has arrived; its mission: total annihilation over the Fourth of July weekend. The last hope to stop the destruction is an unlikely group of people united by fate and unimaginable circumstances.","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.","Fandango at Home, Netflix, Apple TV, Prime Video"
Roommates,Movie,Comedy,https://www.rottentomatoes.com/m/roommates_2026,65%,44%,"When a hopeful, naive college freshman, Devon, asks the cool and confident Celeste to be her roommate, a blossoming friendship spirals into a war of passive aggression.","A messy but affecting college comedy, Roommates swaps big laughs for emotional sincerity, elevated by strong performances even as its uncertain tone keeps it from fully coming together.","Fandango at Home, Netflix, Apple TV, Prime Video"
Caught Stealing,Movie,Mystery & Thriller|Crime|Drama,https://www.rottentomatoes.com/m/caught_stealing,85%,83%,"Hank Thompson (Austin Butler) was a high-school baseball phenom who can't play anymore, but everything else is going okay. He's got a great girl (Zoë Kravitz), tends bar at a New York dive, and his favorite team is making an underdog run at the pennant. When his punk-rock neighbor Russ (Matt Smith) asks him to take care of his cat for a few days, Hank suddenly finds himself caught in the middle of a motley crew of threatening gangsters. They all want a piece of him; the problem is he has no idea why. As Hank attempts to evade their ever-tightening grip, he's got to use all his hustle to stay alive long enough to find out....","A freewheeling throwback, Caught Stealing splendidly showcases Austin Butler's movie star charisma while marking a surprisingly lighthearted gearshift for director Darren Aronofsky.","Fandango at Home, Netflix, Apple TV, Prime Video"
Under the Shadow,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/under_the_shadow,99%,70%,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.",Under the Shadow deftly blends seemingly disparate genres to deliver an effective chiller with timely themes and thought-provoking social subtext.,"Fandango at Home, Netflix, Apple TV, Prime Video"
KPop Demon Hunters,Movie,Kids & Family|Musical|Comedy|Action|Fantasy|Animation|Adventure,https://www.rottentomatoes.com/m/kpop_demon_hunters,91%,99%,"When they aren't selling out stadiums, Kpop superstars Rumi, Mira and Zoey use their secret identities as badass demon hunters to protect their fans from an ever-present supernatural threat. Together, they must face their biggest enemy yet -- an irresistible rival boy band of demons in disguise.","Animated with infectious energy and vibrant colors, KPop Demon Hunters is jaunty family entertainment with a terrific soundtrack to boot.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Hunger Games: The Ballad of Songbirds & Snakes,Movie,Action|Adventure|Sci-Fi,https://www.rottentomatoes.com/m/the_hunger_games_the_ballad_of_songbirds_and_snakes,64%,89%,"Experience the story of THE HUNGER GAMES -- 64 years before Katniss Everdeen volunteered as tribute, and decades before Coriolanus Snow became the tyrannical President of Panem. THE HUNGER GAMES: THE BALLAD OF SONGBIRDS & SNAKES follows a young Coriolanus (Tom Blyth) who is the last hope for his failing lineage, the once-proud Snow family that has fallen from grace in a post-war Capitol. With his livelihood threatened, Snow is reluctantly assigned to mentor Lucy Gray Baird (Rachel Zegler), a tribute from the impoverished District 12. But after Lucy Gray's charm captivates the audience of Panem, Snow sees an opportunity to shift their fates. With everything he has worked for hanging in the balance, Snow unites with Lucy Gray to turn the odds in their favor. Battling his instincts for both good and evil, Snow sets out on a race against time to survive and reveal if he will ultimately become a songbird or a snake.",An outstanding cast and exciting story help make The Hunger Games: The Ballad of Songbirds & Snakes a worthy return to Panem in spite of a rushed and somewhat frustrating ending.,"Fandango at Home, Netflix, Apple TV, Prime Video"
Until Dawn,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/until_dawn_2025,51%,66%,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one... only to wake up and find themselves back at the beginning of the same evening. Trapped in the valley, they're forced to relive the night again and again -- only each time the killer threat is different, each more terrifying than the last. Hope dwindling, the group soon realizes they have a limited number of deaths left, and the only way to escape is to survive until dawn.","Until Dawn has a novel premise by rewinding the clock repeatedly to deliver multiple horror movies in one, but a lack of inspiration in each new variation yields a spoil of diminishing returns rather than riches.","Fandango at Home, Netflix, Apple TV, Prime Video"
Oppenheimer,Movie,Biography|History|Drama,https://www.rottentomatoes.com/m/oppenheimer_2023,93%,91%,"During World War II, Lt. Gen. Leslie Groves Jr. appoints physicist J. Robert Oppenheimer to work on the top-secret Manhattan Project. Oppenheimer and a team of scientists spend years developing and designing the atomic bomb. Their work comes to fruition on July 16, 1945, as they witness the world's first nuclear explosion, forever changing the course of history.",Oppenheimer marks another engrossing achievement from Christopher Nolan that benefits from Murphy's tour-de-force performance and stunning visuals.,"Fandango at Home, Netflix, Apple TV, Prime Video"
Joker: Folie à Deux,Movie,Musical|Crime|Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/joker_folie_a_deux,31%,31%,"""Joker: Folie à Deux"" finds Arthur Fleck institutionalized at Arkham awaiting trial for his crimes as Joker. While struggling with his dual identity, Arthur not only stumbles upon true love, but also finds the music that's always been inside him.","Joaquin Phoenix's eponymous Joker takes the stand in a sequel that dances around while the story remains still, although Lady Gaga's wildcard energy gives Folie á Deux some verve.","Fandango at Home, Netflix, Apple TV, Prime Video"
Havoc,Movie,Action|Mystery & Thriller|Crime|Drama,https://www.rottentomatoes.com/m/havoc_2025,64%,35%,"Walker (Tom Hardy) is a bruised detective fighting his way through the criminal underworld threatening to engulf his entire city. In the aftermath of a drug deal gone wrong, Walker finds himself with a number of factions on his tail; a vengeful crime syndicate, a crooked politician, as well as his fellow cops. When attempting to rescue the politician's estranged son, whose involvement in the drug deal starts to unravel a deep web of corruption and conspiracy, he is forced to confront the demons of his past.","An anemic crime saga punctuated with bravura action sequences, Havoc may feel like a retread of director Gareth Evans' past glories but, for audiences addicted to his balletic style, the formula still rips.","Fandango at Home, Netflix, Apple TV, Prime Video"
Eden,Movie,Adventure|Mystery & Thriller,https://www.rottentomatoes.com/m/eden_2024_2,58%,74%,"Director Ron Howard's Eden unravels the shocking true story of a group of disillusioned outsiders who abandon modern society in search of a new beginning. Settling on a remote, uninhabited island, their utopian dream quickly unravels as they discover that the greatest threat isn't the brutal climate or deadly wildlife, but each other. What follows is a chilling descent into chaos where tensions spiral, desperation takes hold, and a twisted power struggle leads to betrayal, violence, and the deaths of half the colony.","A cohesive theme gets marooned in Eden 's melodramatic dramatization of a colorful true story, but it does provide a starry cast and salacious thrills as compensation.","Fandango at Home, Netflix, Apple TV, Prime Video"
Once Upon a Time... In Hollywood,Movie,Comedy|Drama|History|Crime,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood,86%,70%,"Actor Rick Dalton gained fame and fortune by starring in a 1950s television Western, but is now struggling to find meaningful work in a Hollywood that he doesn't recognize anymore. He spends most of his time drinking and palling around with Cliff Booth, his easygoing best friend and longtime stunt double. Rick also happens to live next door to Roman Polanski and Sharon Tate -- the filmmaker and budding actress whose futures will forever be altered by members of the Manson Family.","Thrillingly unrestrained yet solidly crafted, Once Upon a Time in Hollywood tempers Tarantino's provocative impulses with the clarity of a mature filmmaker's vision.","Fandango at Home, Netflix, Apple TV, Prime Video"
Nobody 2,Movie,Action|Comedy|Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/nobody_2,76%,88%,"Workaholic assassin Hutch Mansell takes his family on a much-needed vacation to the small tourist town of Plummerville. However, he soon finds himself in the crosshairs of a corrupt theme-park operator, a shady sheriff, and a bloodthirsty crime boss.","While frumpy action-hero Hutch Mansell tries to enjoy a nice vacation, Bob Odenkirk works overtime to make Nobody 2 a diverting sequel that measures up admirably to the original.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Gentlemen,Movie,Crime|Drama|Comedy,https://www.rottentomatoes.com/m/the_gentlemen,76%,84%,"Mickey Pearson is an American expatriate who became rich by building a highly profitable marijuana empire in London. When word gets out that he's looking to cash out of the business, it soon triggers an array of plots and schemes -- including bribery and blackmail -- from shady characters who want to steal his domain.","It may not win writer-director Guy Ritchie many new converts, but for those already attuned to the filmmaker's brash wavelength, The Gentlemen stands tall.","Fandango at Home, Netflix, Apple TV, Prime Video"
Bohemian Rhapsody,Movie,Biography|History|Drama|Music|LGBTQ+,https://www.rottentomatoes.com/m/bohemian_rhapsody,60%,85%,"Freddie Mercury -- the lead singer of Queen -- defies stereotypes and convention to become a beloved entertainer; the band's popular songs lead to Queen's rise in the 1970s; after leaving the group to pursue a solo career, Mercury reunites with Queen for the benefit concert Live Aid -- resulting in one of the most memorable performances in rock 'n' roll.","Bohemian Rhapsody hits a handful of high notes, but as an in-depth look at a beloved band, it offers more of a medley than a true greatest hits collection.","Fandango at Home, Netflix, Apple TV, Prime Video"
